English Province,Farsi Province,English City,Farsi City
Alborz,البرز,Asara,اسارا
Alborz,البرز,Chaharbagh,چهارباغ
Alborz,البرز,Eshtehard,اشتهارد
Alborz,البرز,Garmdarreh,گرمدره
Alborz,البرز,"Golsar, Seyfabad",گلسار
Alborz,البرز,Hashtgerd,هشتگرد
Alborz,البرز,Kamal Shahr,كمال شهر
Alborz,البرز,Karaj,کرج
Alborz,البرز,Kuhsar,كوهسار
Alborz,البرز,Mahdasht,ماهدشت
Alborz,البرز,Meshkin Dasht,مشكين دشت
Alborz,البرز,Mohammadshahr,محمدشهر
Alborz,البرز,Nazarabad,نظرآباد
Alborz,البرز,Shahr-e Jadid-e Hashtgerd,شهرجديدهشتگرد
Alborz,البرز,Taleqan,طالقان
Alborz,البرز,Tankaman,تنكمان
Ardabil,اردبیل,Abi Beyglu,آبي بيگلو
Ardabil,اردبیل,Anbaran,عنبران
Ardabil,اردبیل,Ardabil,اردبیل
Ardabil,اردبیل,Aslanduz,اصلاندوز
Ardabil,اردبیل,Bileh Savar,بيله سوار
Ardabil,اردبیل,Fakhrabad,فخراباد
Ardabil,اردبیل,Germi,گرمي
Ardabil,اردبیل,Kivi,گيوئ
Ardabil,اردبیل,Hashatjin,هشتجين
Ardabil,اردبیل,Hir,هير
Ardabil,اردبیل,Jafarabad,جعفرآباد
Ardabil,اردبیل,Khalkhal,خلخال
Ardabil,اردبیل,Kolowr,كلور
Ardabil,اردبیل,Kuraim,كوراييم
Ardabil,اردبیل,Lahrud,لاهرود
Ardabil,اردبیل,Meshgin Shahr,مشگين شهر
Ardabil,اردبیل,Moradlu,مرادلو
Ardabil,اردبیل,Namin,نمين
Ardabil,اردبیل,Nir,نير
Ardabil,اردبیل,Parsabad,پارس آباد
Ardabil,اردبیل,Razi,رضي
Ardabil,اردبیل,Sareyn,سرعين
Ardabil,اردبیل,Tazeh Kand,تازه كند
Ardabil,اردبیل,Tazeh Kand-e Anguti,تازه كندانگوت
West Azerbaijan,آذربایجان غربی,Avajiq,آواجيق
West Azerbaijan,آذربایجان غربی,Baruq,باروق
West Azerbaijan,آذربایجان غربی,Bazargan,بازرگان
West Azerbaijan,آذربایجان غربی,Bukan,بوكان
West Azerbaijan,آذربایجان غربی,Chaharborj,چهاربرج
West Azerbaijan,آذربایجان غربی,Dizaj-e Diz,ديزج ديز
West Azerbaijan,آذربایجان غربی,Firuraq,فيرورق
West Azerbaijan,آذربایجان غربی,Gerdkashaneh,گردكشانه
West Azerbaijan,آذربایجان غربی,Ivughli,ايواوغلي
West Azerbaijan,آذربایجان غربی,Keshavarz,كشاورز
West Azerbaijan,آذربایجان غربی,Khalifan,خليفان
West Azerbaijan,آذربایجان غربی,Khoy,خوی
West Azerbaijan,آذربایجان غربی,Mahabad,مهاباد
West Azerbaijan,آذربایجان غربی,Mahmudabad,محمودآباد
West Azerbaijan,آذربایجان غربی,Maku,ماكو
West Azerbaijan,آذربایجان غربی,Marganlar,مرگنلر
West Azerbaijan,آذربایجان غربی,Miandoab,مياندوآب
West Azerbaijan,آذربایجان غربی,Mirabad,ميرآباد
West Azerbaijan,آذربایجان غربی,Mohammadyar,محمديار
West Azerbaijan,آذربایجان غربی,Nalus,نالوس
West Azerbaijan,آذربایجان غربی,Naqadeh,نقده
West Azerbaijan,آذربایجان غربی,Nazk Liya,نازك عليا
West Azerbaijan,آذربایجان غربی,Nushin,نوشين
West Azerbaijan,آذربایجان غربی,Urmia,ارومیه
West Azerbaijan,آذربایجان غربی,Oshnavieh,اشنويه
West Azerbaijan,آذربایجان غربی,Piranshahr,پيرانشهر
West Azerbaijan,آذربایجان غربی,Poldasht,پلدشت
West Azerbaijan,آذربایجان غربی,Qarah Ziyaoddin,قره ضياڈالدين
West Azerbaijan,آذربایجان غربی,Qotur,قطور
West Azerbaijan,آذربایجان غربی,Qushchi,قوشچي
West Azerbaijan,آذربایجان غربی,Rabat,ربط
West Azerbaijan,آذربایجان غربی,Salmas,سلماس
West Azerbaijan,آذربایجان غربی,Sardasht,سردشت
West Azerbaijan,آذربایجان غربی,Serow,سرو
West Azerbaijan,آذربایجان غربی,Shahin Dezh,شاهين دژ
West Azerbaijan,آذربایجان غربی,Showt,شوط
West Azerbaijan,آذربایجان غربی,Siah Cheshmeh,سيه چشمه
West Azerbaijan,آذربایجان غربی,Silvaneh,سيلوانه
West Azerbaijan,آذربایجان غربی,Simmineh,سيمينه
West Azerbaijan,آذربایجان غربی,Takab,تكاب
West Azerbaijan,آذربایجان غربی,Tazeh Shahr,تازه شهر
West Azerbaijan,آذربایجان غربی,Zarabad,زرآباد
East Azerbaijan,آذربایجان شرقی,Abish Ahmad,آبش احمد
East Azerbaijan,آذربایجان شرقی,Ahar,اهر
East Azerbaijan,آذربایجان شرقی,Ajab Shir,عجب شير
East Azerbaijan,آذربایجان شرقی,Aqkand,آقكند
East Azerbaijan,آذربایجان شرقی,Azarshahr,آذرشهر
East Azerbaijan,آذربایجان شرقی,Bakhshayesh,بخشايش
East Azerbaijan,آذربایجان شرقی,Basmenj,باسمنج
East Azerbaijan,آذربایجان شرقی,"Benab-e Jadid, Benab Marand",بناب جديد
East Azerbaijan,آذربایجان شرقی,Bonab,بناب
East Azerbaijan,آذربایجان شرقی,Bostanabad,بستان آباد
East Azerbaijan,آذربایجان شرقی,Duzduzan,دوزدوزان
East Azerbaijan,آذربایجان شرقی,Gugan,گوگان
East Azerbaijan,آذربایجان شرقی,Hadishahr,هاديشهر
East Azerbaijan,آذربایجان شرقی,Hashtrud,هشترود
East Azerbaijan,آذربایجان شرقی,Heris,هريس
East Azerbaijan,آذربایجان شرقی,Hurand,هوراند
East Azerbaijan,آذربایجان شرقی,Ilkhchi,ايلخچي
East Azerbaijan,آذربایجان شرقی,Jolfa,جلفا
East Azerbaijan,آذربایجان شرقی,Kaleybar,كليبر
East Azerbaijan,آذربایجان شرقی,Khamaneh,خامنه
East Azerbaijan,آذربایجان شرقی,Kharaju,خداجو
East Azerbaijan,آذربایجان شرقی,Kharvana,خاروانا
East Azerbaijan,آذربایجان شرقی,Khomarlu,خمارلو
East Azerbaijan,آذربایجان شرقی,Khosrowshahr,خسروشهر
East Azerbaijan,آذربایجان شرقی,Khajeh,خواجه
East Azerbaijan,آذربایجان شرقی,Kolvanaq,كلوانق
East Azerbaijan,آذربایجان شرقی,Koshksaray,كشكسرائ
East Azerbaijan,آذربایجان شرقی,Kuzeh Kanan,كوزه كنان
East Azerbaijan,آذربایجان شرقی,Leylan,ليلان
East Azerbaijan,آذربایجان شرقی,Malekan,ملكان
East Azerbaijan,آذربایجان شرقی,Mamqan,ممقان
East Azerbaijan,آذربایجان شرقی,Maragheh,مراغه
East Azerbaijan,آذربایجان شرقی,Marand,مرند
East Azerbaijan,آذربایجان شرقی,Mehraban,مهربان
East Azerbaijan,آذربایجان شرقی,Meyaneh,ميانه
East Azerbaijan,آذربایجان شرقی,Nazarkahrizi,نظركهريزئ
East Azerbaijan,آذربایجان شرقی,Osku,اسكو
East Azerbaijan,آذربایجان شرقی,Qarah Aghaj,قره آغاج
East Azerbaijan,آذربایجان شرقی,Sahand,سهند
East Azerbaijan,آذربایجان شرقی,Sarab,سراب
East Azerbaijan,آذربایجان شرقی,Sardrud,سردرود
East Azerbaijan,آذربایجان شرقی,Shabestar,شبستر
East Azerbaijan,آذربایجان شرقی,Sharabian,شربيان
East Azerbaijan,آذربایجان شرقی,Sharafkhaneh,شرفخانه
East Azerbaijan,آذربایجان شرقی,Shendabad,شندآباد
East Azerbaijan,آذربایجان شرقی,Siah Rud,سيه رود
East Azerbaijan,آذربایجان شرقی,Sis,سيس
East Azerbaijan,آذربایجان شرقی,Sufian,صوفيان
East Azerbaijan,آذربایجان شرقی,Tabriz,تبریز
East Azerbaijan,آذربایجان شرقی,Tark,ترك
East Azerbaijan,آذربایجان شرقی,Tasuj,تسوج
East Azerbaijan,آذربایجان شرقی,Tekmeh Dash,تيكمه داش
East Azerbaijan,آذربایجان شرقی,Torkamanchay,تركمانچائ
East Azerbaijan,آذربایجان شرقی,Varzaqan,ورزقان
East Azerbaijan,آذربایجان شرقی,Vayqan,وايقان
East Azerbaijan,آذربایجان شرقی,Yamchi,يامچي
East Azerbaijan,آذربایجان شرقی,Zarnaq,زرنق
East Azerbaijan,آذربایجان شرقی,Zonuz,زنوز
Bushehr,بوشهر,Abdan,آبدان
Bushehr,بوشهر,Ab Pakhsh,آب پخش
Bushehr,بوشهر,Ahram,اهرم
Bushehr,بوشهر,Anarestan,انارستان
Bushehr,بوشهر,Asaluyeh,عسلويه
Bushehr,بوشهر,Bandar-e Deylam,بندرديلم
Bushehr,بوشهر,Bandar-e Deyr,بندردير
Bushehr,بوشهر,Bandar-e Ganaveh,بندرگناوه
Bushehr,بوشهر,Bandar-e Kangan,بندركنگان
Bushehr,بوشهر,Bandar-e Rig,بندرريگ
Bushehr,بوشهر,Bank,بنك
Bushehr,بوشهر,Bardestan,بردستان
Bushehr,بوشهر,Borazjan,برازجان
Bushehr,بوشهر,Bordkhun,بردخون
Bushehr,بوشهر,Bushehr,بوشهر
Bushehr,بوشهر,Choghadak,چغادك
Bushehr,بوشهر,Dalaki,دالكي
Bushehr,بوشهر,Delvar,دلوار
Bushehr,بوشهر,Imam Hassan,امام حسن
Bushehr,بوشهر,Jam,جم
Bushehr,بوشهر,Kaki,كاكي
Bushehr,بوشهر,Kalameh,كلمه
Bushehr,بوشهر,Kharg,خارك
Bushehr,بوشهر,Khvormuj,خورموج
Bushehr,بوشهر,Nakhl-e Taqi,نخل تقي
Bushehr,بوشهر,Riz,ريز
Bushehr,بوشهر,Sadabad,سعد آباد
Bushehr,بوشهر,Shabankareh,شبانكاره
Bushehr,بوشهر,Shonbeh,شنبه
Bushehr,بوشهر,Siraf,سيراف
Bushehr,بوشهر,Tang-e Eram,تنگ ارم
Bushehr,بوشهر,Vahdatiyeh,وحدتيه
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Aluni,آلوني
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Ardal,اردل
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Babaheydar,باباحيدر
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Ben,بن
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Boldaji,بلداجي
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Borujen,بروجن
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Chelgard,چلگرد
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Dastana,دستنا
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Faradonbeh,فرادنبه
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Farrokh Shahr,فرخ شهر
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Farsan,فارسان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Gahru,گهرو
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Gandoman,گندمان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Hafshejan,هفشجان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Junqan,جونقان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Kian,كيان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,ordegan,لردگان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Mal-e Khalifeh,مال خليفه
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Manj,منج
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Nafech,نافچ
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Naghan,ناغان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Naqneh,نقنه
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Pardanjan,پردنجان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Saman,سامان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Sefiddasht,سفيددشت
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Shahr-e Kord,شهركرد
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Shalamzar,شلمزار
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Sudjan,سودجان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Sureshjan,سورشجان
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Taqanak,طاقانك
Chaharmahal and Bakhtiari,چهار محال و بختیاری,Vardanjan,وردنجان
Isfahan,اصفهان,Abrisham,ابريشم
Isfahan,اصفهان,Abuzeydabad,ابوزيدآباد
Isfahan,اصفهان,Afus,افوس
Isfahan,اصفهان,Alavicheh,علويجه
Isfahan,اصفهان,Anarak,انارك
Isfahan,اصفهان,Aran & Bidgol,آران وبيدگل
Isfahan,اصفهان,Ardestan,اردستان
Isfahan,اصفهان,Asgaran,عسگران
Isfahan,اصفهان,Badrud,بادرود
Isfahan,اصفهان,Bafran,بافران
Isfahan,اصفهان,Bagh-e Bahadoran,باغ بهادران
Isfahan,اصفهان,Baharan Shahr,بهاران شهر
Isfahan,اصفهان,Baharestan,بهارستان
Isfahan,اصفهان,Barf Anbar,برف انبار
Isfahan,اصفهان,Barzok,برزك
Isfahan,اصفهان,Buin & Miandasht,بوئين ومياندشت
Isfahan,اصفهان,Chadegan,چادگان
Isfahan,اصفهان,Chamgardan,چمگردان
Isfahan,اصفهان,Charmahin,چرمهين
Isfahan,اصفهان,Damaneh,دامنه
Isfahan,اصفهان,Daran,داران
Isfahan,اصفهان,Dastgerd,دستگرد
Isfahan,اصفهان,Dehaq,دهق
Isfahan,اصفهان,Dehaqan,دهاقان
Isfahan,اصفهان,Dizicheh,ديزيچه
Isfahan,اصفهان,Dorcheh Piaz,درچه پياز
Isfahan,اصفهان,Dowlatabad,دولت آباد
Isfahan,اصفهان,Isfahan,اصفهان
Isfahan,اصفهان,Ezhiyeh,اژيه
Isfahan,اصفهان,Falavarjan,فلاورجان
Isfahan,اصفهان,Farakhi,فرخي
Isfahan,اصفهان,Fereydunshahr,فريدونشهر
Isfahan,اصفهان,Fuladshahr,فولادشهر
Isfahan,اصفهان,Gaz,گز
Isfahan,اصفهان,Goldasht,گلدشت
Isfahan,اصفهان,Golpayegan,گلپايگان
Isfahan,اصفهان,Golshahr,گلشهر
Isfahan,اصفهان,Golshan,گلشن
Isfahan,اصفهان,Gorgab,گرگاب
Isfahan,اصفهان,Guged,گوگد
Isfahan,اصفهان,Habibabad,حبيب آباد
Isfahan,اصفهان,Hana,حنا
Isfahan,اصفهان,Harand,هرند
Isfahan,اصفهان,Hasanabad,حسن اباد
Isfahan,اصفهان,Imanshahr,ايمانشهر
Isfahan,اصفهان,Jandaq,جندق
Isfahan,اصفهان,Jowsheqan & Kamu,جوشقان وكامو
Isfahan,اصفهان,Jowzdan,جوزدان
Isfahan,اصفهان,Kahrizsang,كهريزسنگ
Isfahan,اصفهان,Karkevand,كركوند
Isfahan,اصفهان,Kashan,كاشان
Isfahan,اصفهان,Kelishad & Sudarjan,کلیشاد و سودرجان
Isfahan,اصفهان,Khaledabad,خالدآباد
Isfahan,اصفهان,Khomeynishahr,خمینی‌شهر
Isfahan,اصفهان,Khur,خور
Isfahan,اصفهان,Khvorasgan,خوراسگان
Isfahan,اصفهان,Khvansar,خوانسار
Isfahan,اصفهان,Khvorzuq,خورزوق
Isfahan,اصفهان,Komeh,كمه
Isfahan,اصفهان,Komeshcheh,كمشجه
Isfahan,اصفهان,Kuhpayeh,كوهپايه
Isfahan,اصفهان,Kushk,كوشك
Isfahan,اصفهان,Laybid,لائ بيد
Isfahan,اصفهان,Mahabad,مهاباد
Isfahan,اصفهان,Majlisi,مجلسي
Isfahan,اصفهان,Manzariyeh,منظريه
Isfahan,اصفهان,Meshkat,مشكات
Isfahan,اصفهان,Meymeh,ميمه
Isfahan,اصفهان,Mobarakeh,مباركه
Isfahan,اصفهان,Mohammadabad,محمدآباد
Isfahan,اصفهان,Naeen,نائين
Isfahan,اصفهان,Najafabad,نجف آباد
Isfahan,اصفهان,Nasrabad,نصرآباد
Isfahan,اصفهان,Natanz,نطنز
Isfahan,اصفهان,Neyasar,نياسر
Isfahan,اصفهان,Nikabad,نيك آباد
Isfahan,اصفهان,Nushabad,نوش آباد
Isfahan,اصفهان,Pirbakran,پيربكران
Isfahan,اصفهان,Qahderijan,قهدريجان
Isfahan,اصفهان,Qahjaverestan,قهجاورستان
Isfahan,اصفهان,Qamsar,قمصر
Isfahan,اصفهان,Rezvanshahr,رضوانشهر
Isfahan,اصفهان,Rozveh,رزوه
Isfahan,اصفهان,Sedeh-ye Lenjan,سده لنجان
Isfahan,اصفهان,Sefidshahr,سفيدشهر
Isfahan,اصفهان,Sejzi,سگزئ
Isfahan,اصفهان,Semirom,سميرم
Isfahan,اصفهان,Shahin Shahr,شاهين شهر
Isfahan,اصفهان,Shahreza,شهرضا
Isfahan,اصفهان,Shahpurabad,شاپورآباد
Isfahan,اصفهان,Talkhovncheh,طالخونچه
Isfahan,اصفهان,Tiran,تيران
Isfahan,اصفهان,Tudeshg,تودشك
Isfahan,اصفهان,Vanak,ونك
Isfahan,اصفهان,Varnamkhast,ورنامخواست
Isfahan,اصفهان,Varzaneh,ورزنه
Isfahan,اصفهان,Vazvan,وزوان
Isfahan,اصفهان,Zarrin Shahr,زرين شهر
Isfahan,اصفهان,Zavareh,زواره
Fars,فارس,Abadeh,آباده
Fars,فارس,Abadeh Tashk,آباده طشك
Fars,فارس,Ahel,اهل
Fars,فارس,Alamarvdasht,علامرودشت
Fars,فارس,Ardakan,اردكان
Fars,فارس,Arsanjan,ارسنجان
Fars,فارس,Asir,اسير
Fars,فارس,Bab Anar,باب انار
Fars,فارس,Bahman,بهمن
Fars,فارس,Baladeh,بالاده
Fars,فارس,"Bavanat, Surian",بوانات
Fars,فارس,Beyram,بيرم
Fars,فارس,Beyza,بيضا
Fars,فارس,Banaruiyeh,بنارويه
Fars,فارس,Dowbaran,دبيران
Fars,فارس,Darab,داراب
Fars,فارس,Darian,داريان
Fars,فارس,Dehram,دهرم
Fars,فارس,Dozhkord,دژكرد
Fars,فارس,Doborji,دوبرجي
Fars,فارس,Duzeh,دوزه
Fars,فارس,Efzar,افزر
Fars,فارس,Emadadeh,عمادده
Fars,فارس,Eqlid,اقليد
Fars,فارس,Eshkanan,اشكنان
Fars,فارس,Estahban,استهبان
Fars,فارس,Evaz,اوز
Fars,فارس,Fadami,فدامي
Fars,فارس,Farashband,فراشبند
Fars,فارس,Fasa,فسا
Fars,فارس,Firuzabad,فيروزآباد
Fars,فارس,Galleh Dar,گله دار
Fars,فارس,Gerash,گراش
Fars,فارس,Hajjiabad,حاجي آباد
Fars,فارس,Hamashahr,هماشهر
Fars,فارس,Hasanabad,حسن اباد
Fars,فارس,Hesami,حسامي
Fars,فارس,Ij,ايج
Fars,فارس,Imam Shahr,امام شهر
Fars,فارس,Izadkhvast,ايزدخواست
Fars,فارس,Jahrom,جهرم
Fars,فارس,Jannat Shahr,جنت شهر
Fars,فارس,Juyom,جويم
Fars,فارس,Kamfiruz,كامفيروز
Fars,فارس,Karzin,كارزين
Fars,فارس,Kavar,كوار
Fars,فارس,Kazerun,كازرون
Fars,فارس,Khaneh Zeniyan,خانه زنيان
Fars,فارس,Kharameh,خرامه
Fars,فارس,Khavaran,خاوران
Fars,فارس,Khesht,خشت
Fars,فارس,Khonj,خنج
Fars,فارس,Khumeh Zar,خومه زار
Fars,فارس,Khur,خور
Fars,فارس,Konartakhteh,كنارتخته
Fars,فارس,Kerehi,كره ائ
Fars,فارس,Kuhanjan,كوهنجان
Fars,فارس,Lamerd,لامرد
